epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.224,0,92.5385,0,0,0,0,0,0,130.663,0,0.000656085,0.000656085,0.000656085
2,636.765,0,65.6813,0,0,0,0,0,0,96.445,0,0.000667989,0.000667989,0.000667989
